Winser,老云头
Maria Cortez,马莉
Maria,马莉
Ayeee,安易
Jayyyyy,小杰
Jayyyy,小杰
Jayyy,小杰
Jayy,小杰
Jay Soju,小杰
Jay,小杰
Raynard,大雷
Abby,安信
Bruce,鲁布斯
Nessa,萨内儿
Dungeon Walker,地牢沃克
dungeon walker,地牢沃克
Abe,安大壮
Arie,阿里
Enchanted Ranger's Bow,魔游弓
Griffins,格里芬
Griffin,格里芬
Goliath,歌利亚
Serpent King,大蛇王
R-Rodrigo,罗德
Rodrigo,罗德
Carlson,卡丘生
Lexington Wolf Dungeon,列克星敦·沃尔夫地牢
Sotoro,索罗
Enchanted Dagger,魔游匕首
Greater Demon's Sword,巨魔剑
Greater Demon's Armor,巨魔甲
Greater Demon's,巨魔
Jack,小佳
the Tara Guild,塔拉公会
Tara Guild,塔拉公会
Rei,小瑞
Mutant King's,变异王
the Greater Demon,巨魔
Greater Demon,巨魔
Demon,恶魔
Dungeon Walks,地牢沃克
Raynard,宇文锐
the Minotaur Dungeon,the Minotaur Dungeon
Briana,布里亚娜
Bernard,伯纳德
Brianna,陈伶俐
Bri,伶俐
Arch Demon's Core,大魔王内丹
Roddy,罗迪
Hunter,猎人
Brutus C. Matthews,马修图
Brutus,马修图
Samantha,曼莎
Vice City,瓮城
Tripp,涂青
Sophia Greenday,舒菲儿
Sophie,舒菲儿
Dungeon Walk,地牢沃克
Void Creepers,幽暗行者
Void Creeper,幽暗行者
Fineeee,很好很好
Aire,艾尔
Enchanted Silver Long Sword,魔游长剑
jayyy,小杰
Rylan,文龙
Dagger Mastery,匕首大师
Conway,康威
Fisher,方童
Enchanted Blade,魔游刃
J-Jay,杰
Mammoth,长毛象
Snow Yetis,雪雪
Parada,普拉达
Berserker,狂战士
Dungeon Walking,地牢步行
Dungeon Waling,地牢沃克
Ryaln,文瑞
Bob,老包
George,乔公子
George Arden,乔公子
Arden,乔公子
the Berskerer King,狂战士国王
Enchanted Long Sword,青冈长剑
Silas,司空措
Noble,高贵
the Orc Dungeon,兽人地牢
Wolf Dungeon,狼人地牢
Earth Summoning,大地之召唤
Nessa Mimic Mana Manipulation,萨内儿法力操纵
Dungeon Masters,地牢掌控者
Stone Knight,巨石骑士
Wattpad,平台
thePatreonlink,在线巡逻
Dunegon Walk,地牢沃克
Dunegon Walker,地牢沃克
Erie,尹丽
Ryan,瑞安
Leo,李建
Enchanted Cloak,魔游斗篷
Goblin,妖精
Avery District,艾弗里区
jack,小佳
Marco,马可
Roger,荣克
Talia,塔利亚
Cori,长根
the Nurean Region,努利亚地区
Daniel,老丹
Kenji,邓小吉
Tara,塔拉
Hudson,胡志强
Abigail Sotoro,可嘉
Abigail,可嘉
Frederik,老谢
Henry,建东
Tom,老猫
Chloe,巧玲
Zoe,小敏
Tanner Mason,叶勇
Tanner,叶勇
Xavier Solace,涛涛
Xavier,涛涛
Theodore The Destroyer,司徒驱逐舰
THEODORE,司徒
Theodore,司徒
Theo,司徒
Franklin,苏飞
Vatarian City,樊城
Steel Shin Guards],钢胫卫
Arnold,史文龙
Dasha,刘丽莎
Connor,老孔
Rodrigo Morales,罗德里
erie,尹丽
Enchanted Leather Boots,魔游靴
Bat Dungeon,蝙蝠地牢
Enchanted Leather Boots,魔游靴
Mara,马拉
Lizard King's,蜥蜴王
Maira,瑞文
Apline,艳娥
JAY,小杰
Sandra,段小媛
Mike,宋全
Ya,是的
Iet,IET
Lizard King's Staff,蜥蜴王的仆从
Watcha,燕妮
Griffon,格里芬
griffin,格里芬
Ember,余烬
Charlotte,夏洛特
Enchanted Daggers,强化匕首
Enchanted Sand Golem's,魔法沙雕的
orange rock,橙色岩石
Dunegon,地下城
Danny,丹尼
Dungeon,地下城
gore,血块
Issac,老萨
DryRock,风干城
Arch Demons,弓形怪们
Arch Demon,弓形怪
Mutant Ogre,变异食人魔
Solaran,索拉兰
Lydia,莉迪亚
Abby Maria,圣母玛利亚
Gargoyle,石像鬼
Balck,巴尔克
Lizard Tyrant King's,蜥蜴暴君的
Lizard Tyrant's,蜥蜴暴君的
Lizard Tyrants,蜥蜴暴君
Knight,骑士
the Frost Dragon,生命之龙
Frost Dragon,生命之龙
Arch Demon's Amulet of Protection,大魔王护符
Arch Demon's,弓形怪的
Fire Dragon,火龙
The Rock Golem,The Rock Golem
MPTime,MP次数
The City of Solara,索拉拉城
Solara,索拉拉城
Labyriths,迷宫
Demon Boy,恶魔小子
Shine,闪耀
Chester,老切
Ice Mage,冰法师
Abyss,深渊
Archer,射手
Labyrinth,迷宫
Knights,骑士
Craftsman,工匠
the Black Market,黑市
Hush,安静
Thorne Darkwood,索恩的黑森林
Thorne,索恩
Red Hydra Soulstone,红色九头蛇的魂石
Red Hydra's Rage,红色九头蛇的愤怒
Red Hydra's,红色九头蛇的
Soulstone Fragment',魂石碎片
Soulstone,魂石
Darkwood,黑森林
Lith,岩石
Valor City,勇气之城
Red Aura,红色光环
Red Hydra,红色九头蛇
Hydra buff,九头蛇状态
Hydra,九头蛇
Jumps,跳
Replications,复制品
Demonic Dagger,恶魔匕首
hydra,九头蛇
Crimson Colored Wind Blade,深红色的风刀
The Flame Emperor's Sword,火焰皇帝的剑
Dagger,匕首
Rage Buff,狂怒状态
Wright,赖特
The Flame Emperor,火焰皇帝
Sia,西亚
Stone Maiden,石头少女
Monk,僧侣
the Flame Emperor,火焰帝国
Mutant Ghoul,突变食尸鬼
Ghoul,食尸鬼
the Lich King's,巫妖王的
the Lich King,巫妖王
Elen,埃伦
silver city,圣银城
Ace,阿森
Black Knights,黑骑士
Wyvern,斗鸟
sears,sears鬼
Orange Aura,橙色光环
Elen's Moon,埃伦的月亮
Enchanted Crimson,强化的深红
Garcia,加西亚
Spar,晶石
Emerald Warrior,翡翠战士
Wraith,幽灵
